"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"41",0.348047148225787,0.243163030309759,0.129192082052798,0.099299684464868,0.0493367751175212,0.0325023380895177,0.0119019980881381,0.0279916728764081,0.0153472974478819,0.031197271759806,0,0.012020701567516
"42",0.367359361581402,0.24321050619316,0.131616545479378,0.0979628234216756,0.0477934059432759,0.0316414107862652,0.0142727950766012,0.0194629120360715,0.0155688303086406,0.0243704811100061,0,0.00674092806352399
"43",0.35686067648767,0.234578808393883,0.133014301858806,0.104143262618395,0.0475496602099011,0.0334151513465522,0.0256505446499577,0.0196970884085674,0.0169371804841078,0.0156341887040214,0.00122545484185699,0.0112936819962815
"44",0.357520004944597,0.232679207143867,0.136831082312652,0.10407451096907,0.0477329868502942,0.032057856533639,0.0293558145467132,0.0183892883912864,0.0178667491689327,0.00887028983742645,0,0.0146222093015227
"45",0.357310330065168,0.226419777739546,0.140080779007064,0.104236984352958,0.0487049956952705,0.0331614608240805,0.0279007178629106,0.0159902746458194,0.0208937164421939,0.0112504767993383,0,0.014050486565651
"46",0.355300844086929,0.22259477131008,0.142952129803754,0.102013215894365,0.0493012088049205,0.0321744545953542,0.0294042668942937,0.0183852023478133,0.0190773430847347,0.012660968763972,0,0.0161355944137836
"47",0.359342659362321,0.224520122879839,0.14376734885417,0.102315052937158,0.0486552715139256,0.0322442135614181,0.0265234008183393,0.0211591298160428,0.0145439798982877,0.012466493381006,0,0.0144623269774921
"48",0.363038308605868,0.227863991662762,0.14046745698324,0.10274402933676,0.0490594760591889,0.0319954718952607,0.0247746706176518,0.0190920146279885,0.0166685315360195,0.00852618623933849,0,0.0157698624359216
"49",0.360362651099301,0.22394612080165,0.139830765598237,0.103018553062138,0.0474543306227972,0.0330448566422597,0.0240905575627831,0.0221512901403543,0.0176774672406885,0.0111251630759931,0,0.017298244153799
"50",0.351151371482691,0.218722990319333,0.140490049624873,0.103960783010171,0.0493966892720768,0.0341136037909596,0.0275539283228505,0.0218333453080606,0.0199612237399467,0.00963301762076052,0.00213409177032084,0.0210489057379558
"51",0.352621226022985,0.213452019746547,0.144080982841408,0.0972121460148729,0.046289719394476,0.0374769844035556,0.0340098487368032,0.0202237699857193,0.0237520501960082,0.00843281778533277,0.0031615461709861,0.0192868887013057
